id,price,restaurant_id,data_id,name,_rid,_self,_etag,_attachments,_ts
0,17.12222222,244,1613,Peach tart,LFZbAInsZRQBAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQBAAAAAAAAAA==/,"""54000ab0-0000-0200-0000-622fb56c0000""",attachments/,1647293804
1,28.2245269,260,1711,Avocat aux Crevettes avocado and shrimp salad with tarragon mayonnaise,LFZbAInsZRQCAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQCAAAAAAAAAA==/,"""54000bb0-0000-0200-0000-622fb56c0000""",attachments/,1647293804
2,27.7444774,43,277,"CABERNET SAUVIGNON, Rutherford, Beaulieu",LFZbAInsZRQDAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQDAAAAAAAAAA==/,"""54000cb0-0000-0200-0000-622fb56c0000""",attachments/,1647293804
3,8.9256787,68,438,Subgum Shrimp Chow Mein,LFZbAInsZRQEAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQEAAAAAAAAAA==/,"""54000db0-0000-0200-0000-622fb56c0000""",attachments/,1647293804
4,29.44688586,45,283,Dom Perignon,LFZbAInsZRQFAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQFAAAAAAAAAA==/,"""54000eb0-0000-0200-0000-622fb56c0000""",attachments/,1647293804
5,19.43646465,242,1600,Dubonnet,LFZbAInsZRQGAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQGAAAAAAAAAA==/,"""54000fb0-0000-0200-0000-622fb56c0000""",attachments/,1647293804
6,10.8474646,173,1159,"Coconut Shrimp Jumbo shrimp, battered and dipped in shredded coconut, fried golden brown and served with a Chinese pesto dipping sauce, pineapple chutney, yogurt cucumbers and steamed rice",LFZbAInsZRQHAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQHAAAAAAAAAA==/,"""540010b0-0000-0200-0000-622fb56d0000""",attachments/,1647293805
7,30.66474763,45,286,Christers Champagne Cocktail with Black Currant Sorbet,LFZbAInsZRQIAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQIAAAAAAAAAA==/,"""540013b0-0000-0200-0000-622fb56d0000""",attachments/,1647293805
8,11.3,18,123,"Domaine Carneros, Brut, 1992, Napa",LFZbAInsZRQJAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQJAAAAAAAAAA==/,"""540014b0-0000-0200-0000-622fb56d0000""",attachments/,1647293805
9,12.5,310,2043,Salmon Fillet,LFZbAInsZRQKAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAInsZRQ=/docs/LFZbAInsZRQKAAAAAAAAAA==/,"""540015b0-0000-0200-0000-622fb56d0000""",attachments/,1647293805
