,id,opening_hours,city,creation_date,data_id,street,email,phone_number,name,_rid,_self,_etag,_attachments,_ts
0,0,12:00-23:00,San Francisco,10/15/17 20:34,268,Bayside Village Pl,rods_1890s_ranch_house@inbox.com,0499-121761,Rods 1890s Ranch House,LFZbAOhfMFoBAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoBAAAAAAAAAA==/,"""10001ce6-0000-0200-0000-622fb53c0000""",attachments/,1647293756
1,1,12:00-23:00,San Francisco,3/23/18 8:41,337,Leona Terrace,southern_railway@hotmail.com,0496-657871,Southern Railway,LFZbAOhfMFoCAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoCAAAAAAAAAA==/,"""10001de6-0000-0200-0000-622fb53c0000""",attachments/,1647293756
2,2,12:00-23:00,San Francisco,7/7/17 5:10,162,Winn Way - Golden Gate National Recreation Area,associates_of_the_enginer_corps_and_company_k@gmail.com,0495-143410,Associates Of The Enginer Corps And Company K,LFZbAOhfMFoDAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoDAAAAAAAAAA==/,"""10001ee6-0000-0200-0000-622fb53c0000""",attachments/,1647293756
3,3,12:00-23:00,San Francisco,8/7/17 16:57,193,Burgoyne St,the_cleveland_bankers@yahoo.com,0496-641689,The Cleveland Bankers,LFZbAOhfMFoEAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoEAAAAAAAAAA==/,"""10001fe6-0000-0200-0000-622fb53c0000""",attachments/,1647293756
4,4,12:00-23:00,San Francisco,7/7/17 10:37,163,Carl St,the_streamliner@gmail.com,0495-160486,The Streamliner,LFZbAOhfMFoFAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoFAAAAAAAAAA==/,"""100020e6-0000-0200-0000-622fb53d0000""",attachments/,1647293757
5,5,12:00-23:00,San Francisco,3/28/18 15:16,338,Pond St,lucullus_club@inbox.com,0496-986245,Lucullus Club,LFZbAOhfMFoGAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoGAAAAAAAAAA==/,"""100021e6-0000-0200-0000-622fb53d0000""",attachments/,1647293757
6,6,12:00-23:00,San Francisco,12/11/17 21:56,297,Flournoy St,club_31@inbox.com,0499-540935,Club 31,LFZbAOhfMFoHAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoHAAAAAAAAAA==/,"""100022e6-0000-0200-0000-622fb53d0000""",attachments/,1647293757
7,7,12:00-23:00,San Francisco,9/25/17 15:42,255,Latona St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0498-994404,Toyo Kisen Kaisha  Hong Kong Maru,LFZbAOhfMFoIAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoIAAAAAAAAAA==/,"""100023e6-0000-0200-0000-622fb53d0000""",attachments/,1647293757
8,8,12:00-23:00,San Francisco,9/16/17 10:18,245,Loomis St,veteran_corps_of_artillery_military_society_of_the_war_of_1812@outlook.com,0495-562736,Veteran Corps Of Artillery Military Society Of The War Of 1812,LFZbAOhfMFoJAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoJAAAAAAAAAA==/,"""100024e6-0000-0200-0000-622fb53d0000""",attachments/,1647293757
9,9,12:00-23:00,San Francisco,3/7/18 23:56,332,Lake Merced Hill S St,cf_wetzel@hotmail.com,0498-319369,C.F. Wetzel,LFZbAOhfMFoKAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoKAAAAAAAAAA==/,"""100026e6-0000-0200-0000-622fb53d0000""",attachments/,1647293757
10,10,12:00-23:00,San Francisco,8/7/17 13:00,192,Marine Dr,harrys_bar@aol.com,0494-616328,Harrys Bar,LFZbAOhfMFoLAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoLAAAAAAAAAA==/,"""100027e6-0000-0200-0000-622fb53d0000""",attachments/,1647293757
11,11,12:00-23:00,San Francisco,4/27/17 22:10,39,Forest Knolls Dr,long_island_business_college_hall@gmail.com,0496-359481,Long Island Business College Hall,LFZbAOhfMFoMAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoMAAAAAAAAAA==/,"""100028e6-0000-0200-0000-622fb53d0000""",attachments/,1647293757
12,12,12:00-23:00,San Francisco,7/7/17 17:51,164,Urbano Dr,brooklyn_democratic_club@yahoo.com,0496-931729,Brooklyn Democratic Club,LFZbAOhfMFoNAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoNAAAAAAAAAA==/,"""100029e6-0000-0200-0000-622fb53d0000""",attachments/,1647293757
13,13,12:00-23:00,San Francisco,10/20/17 7:41,271,Fresnel Way,seventh_masonic_district@mail.com,0496-040228,Seventh Masonic District,LFZbAOhfMFoOAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoOAAAAAAAAAA==/,"""10002ae6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
14,14,12:00-23:00,San Francisco,9/30/17 16:39,261,Codman Pl,salle_hotel@gmail.com,0498-575430,Salle Hotel,LFZbAOhfMFoPAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoPAAAAAAAAAA==/,"""10002be6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
15,15,12:00-23:00,San Francisco,9/28/17 17:21,258,Donahue St,san_souci___beverly_wilshire_hotel@mail.com,0499-679087,San Souci   Beverly Wilshire Hotel,LFZbAOhfMFoQAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoQAAAAAAAAAA==/,"""10002ce6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
16,16,12:00-23:00,San Francisco,9/11/17 3:08,240,Moneta Way,the_pabst@yahoo.com,0497-859751,The Pabst,LFZbAOhfMFoRAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoRAAAAAAAAAA==/,"""10002de6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
17,17,12:00-23:00,San Francisco,4/7/18 5:21,340,Quintara St,18th_club@outlook.com,0494-267745,18th Club,LFZbAOhfMFoSAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoSAAAAAAAAAA==/,"""10002ee6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
18,18,12:00-23:00,San Francisco,6/15/17 5:52,132,Manor Dr,karl_ratzschs@hotmail.com,0498-457437,Karl Ratzschs,LFZbAOhfMFoTAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoTAAAAAAAAAA==/,"""10002fe6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
19,19,12:00-23:00,New York,10/21/17 20:50,273,Bowl Dr,nipppon_yusen_kaisha___ss_kobe_maru@aol.com,0495-365711,Nipppon Yusen Kaisha   S.S. Kobe Maru,LFZbAOhfMFoUAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoUAAAAAAAAAA==/,"""100030e6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
20,20,12:00-23:00,New York,3/3/18 23:33,328,Emmet Ct,explorers_club___arctic_club@yahoo.com,0498-853282,Explorers Club   Arctic Club,LFZbAOhfMFoVAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoVAAAAAAAAAA==/,"""100032e6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
21,21,12:00-23:00,San Francisco,6/28/17 16:26,149,Faxon Ave,union_pacific__railroad@inbox.com,0495-218313,Union Pacific  Railroad,LFZbAOhfMFoWAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoWAAAAAAAAAA==/,"""100034e6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
22,22,12:00-23:00,San Francisco,5/13/17 10:36,70,Incinerator Rd,winthrop_hotel@hotmail.com,0498-308091,Winthrop Hotel,LFZbAOhfMFoXAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoXAAAAAAAAAA==/,"""100035e6-0000-0200-0000-622fb53e0000""",attachments/,1647293758
23,23,12:00-23:00,San Francisco,12/6/17 20:14,294,Bird St,american_spool_cotton_manufacturers_association@hotmail.com,0497-515464,American Spool Cotton Manufacturers Association,LFZbAOhfMFoYAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoYAAAAAAAAAA==/,"""100036e6-0000-0200-0000-622fb53f0000""",attachments/,1647293759
24,24,12:00-23:00,San Francisco,1/23/18 11:23,314,Beale St,willards_hotel@inbox.com,0499-396148,Willards Hotel,LFZbAOhfMFoZAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoZAAAAAAAAAA==/,"""100037e6-0000-0200-0000-622fb53f0000""",attachments/,1647293759
25,25,12:00-23:00,San Francisco,6/15/17 21:28,134,Ashwood Ln,the_upholstey_and_allied_trades@yahoo.com,0499-348306,The Upholstey And Allied Trades,LFZbAOhfMFoaAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoaAAAAAAAAAA==/,"""100039e6-0000-0200-0000-622fb53f0000""",attachments/,1647293759
26,26,12:00-23:00,San Francisco,7/14/17 5:42,171,Edith St,century_club?@inbox.com,0498-662968,Century Club?,LFZbAOhfMFobAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFobAAAAAAAAAA==/,"""10003de6-0000-0200-0000-622fb53f0000""",attachments/,1647293759
27,27,12:00-23:00,San Francisco,5/16/17 5:04,78,Haight St,amity_hall_inn@inbox.com,0497-081463,Amity Hall Inn,LFZbAOhfMFocAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFocAAAAAAAAAA==/,"""10003fe6-0000-0200-0000-622fb53f0000""",attachments/,1647293759
28,28,12:00-23:00,San Francisco,5/30/17 7:49,102,Lincoln Way,library_room@aol.com,0496-312433,Library Room,LFZbAOhfMFodAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFodAAAAAAAAAA==/,"""100041e6-0000-0200-0000-622fb53f0000""",attachments/,1647293759
29,29,12:00-23:00,San Francisco,2/2/18 7:28,317,Leona Terrace,mills_hotel@gmail.com,0496-313456,Mills Hotel,LFZbAOhfMFoeAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoeAAAAAAAAAA==/,"""100043e6-0000-0200-0000-622fb53f0000""",attachments/,1647293759
30,30,12:00-23:00,San Francisco,4/28/17 14:52,41,S Hughes Ln - Golden Gate National Recreation Area,bert_hough_&_tony_franker___pabst_blue_ribbon@gmail.com,0498-587830,Bert Hough & Tony Franker   Pabst Blue Ribbon,LFZbAOhfMFofAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFofAAAAAAAAAA==/,"""100044e6-0000-0200-0000-622fb53f0000""",attachments/,1647293759
31,31,12:00-23:00,San Francisco,4/26/17 18:19,36,Clover St,friends_of_hanthony_dyer@gmail.com,0495-277891,Friends Of H.Anthony Dyer,LFZbAOhfMFogAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFogAAAAAAAAAA==/,"""100045e6-0000-0200-0000-622fb53f0000""",attachments/,1647293759
32,32,12:00-23:00,San Francisco,7/1/18 14:30,359,Sansome St,the_ballroom_of_the_hotel_plaza@yahoo.com,0494-478153,The Ballroom Of The Hotel Plaza,LFZbAOhfMFohAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFohAAAAAAAAAA==/,"""100046e6-0000-0200-0000-622fb5400000""",attachments/,1647293760
33,33,12:00-23:00,San Francisco,6/16/17 3:47,136,Doublerock St,brasserie_dalsace@mail.com,0495-312358,Brasserie Dalsace,LFZbAOhfMFoiAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFoiAAAAAAAAAA==/,"""100047e6-0000-0200-0000-622fb5400000""",attachments/,1647293760
34,34,12:00-23:00,San Francisco,12/8/17 11:00,295,Fresnel Way,liptons_restaurant@mail.com,0499-421579,Liptons Restaurant,LFZbAOhfMFojAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFojAAAAAAAAAA==/,"""100048e6-0000-0200-0000-622fb5400000""",attachments/,1647293760
35,35,12:00-23:00,San Francisco,4/23/17 6:01,30,Harrison St,comrades_of_the_army_of_the_potomac@gmail.com,0494-503010,Comrades Of The Army Of The Potomac,LFZbAOhfMFokAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFokAAAAAAAAAA==/,"""10004ae6-0000-0200-0000-622fb5400000""",attachments/,1647293760
36,36,12:00-23:00,San Francisco,12/15/17 1:35,300,Tucker Ave,dr_h_g_sherman@hotmail.com,0496-897141,Dr. H. G. Sherman,LFZbAOhfMFolAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFolAAAAAAAAAA==/,"""10004be6-0000-0200-0000-622fb5400000""",attachments/,1647293760
