opening_hours,city,creation_date,data_id,street,email,phone_number,name,lat,lon
12:00-23:00,San Francisco,10/15/17 20:34,268,Bayside Village Pl,rods_1890s_ranch_house@inbox.com,0499-121761,Rods 1890s Ranch House,37.7844191,-122.3901329
12:00-23:00,San Francisco,3/23/18 8:41,337,Leona Terrace,southern_railway@hotmail.com,0496-657871,Southern Railway,37.7831344,-122.4445421
12:00-23:00,San Francisco,7/7/17 5:10,162,Winn Way - Golden Gate National Recreation Area,associates_of_the_enginer_corps_and_company_k@gmail.com,0495-143410,Associates Of The Enginer Corps And Company K,None,None
12:00-23:00,San Francisco,8/7/17 16:57,193,Burgoyne St,the_cleveland_bankers@yahoo.com,0496-641689,The Cleveland Bankers,37.795217,-122.4169384
12:00-23:00,San Francisco,7/7/17 10:37,163,Carl St,the_streamliner@gmail.com,0495-160486,The Streamliner,37.7652534,-122.4543235
12:00-23:00,San Francisco,3/28/18 15:16,338,Pond St,lucullus_club@inbox.com,0496-986245,Lucullus Club,37.7632599,-122.4322001
12:00-23:00,San Francisco,12/11/17 21:56,297,Flournoy St,club_31@inbox.com,0499-540935,Club 31,37.7086054,-122.4618347
12:00-23:00,San Francisco,9/25/17 15:42,255,Latona St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0498-994404,Toyo Kisen Kaisha  Hong Kong Maru,37.7316779,-122.3925461
12:00-23:00,San Francisco,9/16/17 10:18,245,Loomis St,veteran_corps_of_artillery_military_society_of_the_war_of_1812@outlook.com,0495-562736,Veteran Corps Of Artillery Military Society Of The War Of 1812,37.7403887,-122.4054461
12:00-23:00,San Francisco,3/7/18 23:56,332,Lake Merced Hill S St,cf_wetzel@hotmail.com,0498-319369,C.F. Wetzel,37.709239,-122.4848472
12:00-23:00,San Francisco,8/7/17 13:00,192,Marine Dr,harrys_bar@aol.com,0494-616328,Harrys Bar,37.8092483,-122.47567
12:00-23:00,San Francisco,4/27/17 22:10,39,Forest Knolls Dr,long_island_business_college_hall@gmail.com,0496-359481,Long Island Business College Hall,37.7557157,-122.455363
12:00-23:00,San Francisco,7/7/17 17:51,164,Urbano Dr,brooklyn_democratic_club@yahoo.com,0496-931729,Brooklyn Democratic Club,37.7240354,-122.4632264
12:00-23:00,San Francisco,10/20/17 7:41,271,Fresnel Way,seventh_masonic_district@mail.com,0496-040228,Seventh Masonic District,37.8092721,-122.3613287
12:00-23:00,San Francisco,9/30/17 16:39,261,Codman Pl,salle_hotel@gmail.com,0498-575430,Salle Hotel,37.7946459,-122.4100707
12:00-23:00,San Francisco,9/28/17 17:21,258,Donahue St,san_souci___beverly_wilshire_hotel@mail.com,0499-679087,San Souci   Beverly Wilshire Hotel,37.7156712,-122.3819528
12:00-23:00,San Francisco,9/11/17 3:08,240,Moneta Way,the_pabst@yahoo.com,0497-859751,The Pabst,37.712575,-122.450439
12:00-23:00,San Francisco,4/7/18 5:21,340,Quintara St,18th_club@outlook.com,0494-267745,18th Club,37.74789,-122.4933756
12:00-23:00,San Francisco,6/15/17 5:52,132,Manor Dr,karl_ratzschs@hotmail.com,0498-457437,Karl Ratzschs,37.7282574,-122.464081
12:00-23:00,New York,10/21/17 20:50,273,Bowl Dr,nipppon_yusen_kaisha___ss_kobe_maru@aol.com,0495-365711,Nipppon Yusen Kaisha   S.S. Kobe Maru,41.94949515,-73.98978628148714
12:00-23:00,New York,3/3/18 23:33,328,Emmet Ct,explorers_club___arctic_club@yahoo.com,0498-853282,Explorers Club   Arctic Club,None,None
12:00-23:00,San Francisco,6/28/17 16:26,149,Faxon Ave,union_pacific__railroad@inbox.com,0495-218313,Union Pacific  Railroad,37.7250783,-122.4599388
12:00-23:00,San Francisco,5/13/17 10:36,70,Incinerator Rd,winthrop_hotel@hotmail.com,0498-308091,Winthrop Hotel,37.801385,-122.4658732
12:00-23:00,San Francisco,12/6/17 20:14,294,Bird St,american_spool_cotton_manufacturers_association@hotmail.com,0497-515464,American Spool Cotton Manufacturers Association,37.7622635,-122.422538
12:00-23:00,San Francisco,1/23/18 11:23,314,Beale St,willards_hotel@inbox.com,0499-396148,Willards Hotel,37.7912359,-122.3959205
12:00-23:00,San Francisco,6/15/17 21:28,134,Ashwood Ln,the_upholstey_and_allied_trades@yahoo.com,0499-348306,The Upholstey And Allied Trades,37.7534172,-122.4572702
12:00-23:00,San Francisco,7/14/17 5:42,171,Edith St,century_club?@inbox.com,0498-662968,Century Club?,37.8027607,-122.4089226
12:00-23:00,San Francisco,5/16/17 5:04,78,Haight St,amity_hall_inn@inbox.com,0497-081463,Amity Hall Inn,37.7692388,-122.4530413
12:00-23:00,San Francisco,5/30/17 7:49,102,Lincoln Way,library_room@aol.com,0496-312433,Library Room,37.7645991,-122.4956097
12:00-23:00,San Francisco,2/2/18 7:28,317,Leona Terrace,mills_hotel@gmail.com,0496-313456,Mills Hotel,37.7831344,-122.4445421
12:00-23:00,San Francisco,4/28/17 14:52,41,S Hughes Ln - Golden Gate National Recreation Area,bert_hough_&_tony_franker___pabst_blue_ribbon@gmail.com,0498-587830,Bert Hough & Tony Franker   Pabst Blue Ribbon,None,None
12:00-23:00,San Francisco,4/26/17 18:19,36,Clover St,friends_of_hanthony_dyer@gmail.com,0495-277891,Friends Of H.Anthony Dyer,37.7596739,-122.4415182
12:00-23:00,San Francisco,7/1/18 14:30,359,Sansome St,the_ballroom_of_the_hotel_plaza@yahoo.com,0494-478153,The Ballroom Of The Hotel Plaza,37.8003953,-122.4026366
12:00-23:00,San Francisco,6/16/17 3:47,136,Doublerock St,brasserie_dalsace@mail.com,0495-312358,Brasserie Dalsace,None,None
12:00-23:00,San Francisco,12/8/17 11:00,295,Fresnel Way,liptons_restaurant@mail.com,0499-421579,Liptons Restaurant,37.8092721,-122.3613287
12:00-23:00,San Francisco,4/23/17 6:01,30,Harrison St,comrades_of_the_army_of_the_potomac@gmail.com,0494-503010,Comrades Of The Army Of The Potomac,37.7700068,-122.4131192
12:00-23:00,San Francisco,12/15/17 1:35,300,Tucker Ave,dr_h_g_sherman@hotmail.com,0496-897141,Dr. H. G. Sherman,37.7159384,-122.4059232
12:00-23:00,San Francisco,10/23/17 7:36,275,Meadowbrook Dr,hamburg_america_line@outlook.com,0495-118669,Hamburg America Line,37.732321,-122.4845323
12:00-23:00,San Francisco,12/8/18 1:04,399,John F Kennedy Dr,santa_fe_dining_car_service@yahoo.com,0496-559782,Santa Fe Dining Car Service,37.7709862,-122.4567933
12:00-23:00,San Francisco,7/3/17 13:43,159,Avenue M,restaurant_faberhof@outlook.com,0494-730473,Restaurant Faberhof,37.8219685,-122.3647556
12:00-23:00,San Francisco,8/15/17 6:47,204,Knott Ct,dante@inbox.com,0498-723637,Dante,37.7091083,-122.4409069
12:00-23:00,New York,6/15/18 7:26,356,Avenue C,society_of_colonial_wars_in_state_of_new_jersey@inbox.com,0499-532891,Society Of Colonial Wars In State Of New Jersey,40.720779,-73.9812617
12:00-23:00,New York,6/10/18 19:58,353,Tenny Pl,sheraton_blackstone_chicago@inbox.com,0497-637785,Sheraton Blackstone Chicago,None,None
12:00-23:00,San Francisco,4/17/17 4:22,24,Cordelia St,greenhuts_lunch_room_at_18th_and_19th_streets@outlook.com,0497-157694,Greenhuts Lunch Room at 18th and 19th Streets.,37.7974935,-122.4090343
12:00-23:00,San Francisco,7/26/17 8:00,183,Italy Ave,yale_alumni_association@mail.com,0498-591241,Yale Alumni Association,37.7165755,-122.4355516
12:00-23:00,San Francisco,5/19/17 10:57,84,Beacon St,au_chat_noir@hotmail.com,0495-777151,Au Chat Noir,37.740838,-122.432936
12:00-23:00,San Francisco,6/3/17 6:10,111,Mansfield St,pennsylvania_tours_to_the_golden_gate@hotmail.com,0499-240382,Pennsylvania Tours To The Golden Gate,37.7238752,-122.4238589
