,price,restaurant_id,data_id,name,cost,profit
0,17.12222222,244,1613,Peach tart,23.02796145805018,-5.905739238050177
1,28.2245269,260,1711,Avocat aux Crevettes avocado and shrimp salad with tarragon mayonnaise,23.02796145805018,5.196565441949822
2,27.7444774,43,277,"CABERNET SAUVIGNON, Rutherford, Beaulieu",23.02796145805018,4.716515941949822
3,8.9256787,68,438,Subgum Shrimp Chow Mein,23.02796145805018,-14.102282758050178
4,29.44688586,45,283,Dom Perignon,23.02796145805018,6.41892440194982
5,19.43646465,242,1600,Dubonnet,23.02796145805018,-3.5914968080501772
6,10.8474646,173,1159,"Coconut Shrimp Jumbo shrimp, battered and dipped in shredded coconut, fried golden brown and served with a Chinese pesto dipping sauce, pineapple chutney, yogurt cucumbers and steamed rice",23.02796145805018,-12.180496858050178
7,30.66474763,45,286,Christers Champagne Cocktail with Black Currant Sorbet,23.02796145805018,7.636786171949822
8,11.3,18,123,"Domaine Carneros, Brut, 1992, Napa",23.02796145805018,-11.727961458050178
9,12.5,310,2043,Salmon Fillet,23.02796145805018,-10.527961458050179
10,20.1,101,660,2004 SAUVIGNON Western Cape Sincerely Neil Ellis,23.02796145805018,-2.927961458050177
11,27.4,283,1867,Shredsded Pork w. Garlic Sauce,23.02796145805018,4.37203854194982
12,19.0,48,304,Strawberry Mineral Water,23.02796145805018,-4.027961458050179
13,25.1,157,1050,"Mesclun Salad: Leaf Lettuce, Mandarin Oranges, Walnuts, Goat Cheese and Plum Tomatoes ... 5.95",23.02796145805018,2.072038541949823
14,25.6,94,615,Smoked Chub Fillet,23.02796145805018,2.572038541949823
15,13.5,128,859,"Mixed Green Salad- with Coach Farms triple creme goat cheese, toasted pumpkin seeds and apple cider vinegar",23.02796145805018,-9.527961458050179
16,36.4,296,1954,Golden Bantam Corn on Cob,23.02796145805018,13.37203854194982
17,21.8,282,1862,"Hogue Cellars Fume, 1996, Columbia Valley",23.02796145805018,-1.2279614580501779
18,20.9,298,1969,"Hogue Cellars Fume, 1996, Columbia Valley",23.02796145805018,-2.12796145805018
19,19.1,383,2514,"Wraps: W4  Chicken Fajita Black Beans, Vermont Cheddar & Monterey Jack Cheese, Chopped Tomato & Avocado ... 6.25",23.02796145805018,-3.927961458050177
20,8.2,143,957,French fries,23.02796145805018,-14.82796145805018
21,30.4,207,1363,"Cuvaison, Chardonnay, Carneros, USA 1999",23.02796145805018,7.37203854194982
22,10.0,125,845,"Veuve Clicquot, Yellow Label, Brut NV",23.02796145805018,-13.027961458050179
23,24.6,244,1611,San Pellegrino Sparkling Water,23.02796145805018,1.5720385419498228
24,25.4,153,1020,"Vegetarian Curried Noodles. Chinese Egg Noodles stir-fried with Leeks, Bok Choi, Eggplant and Tofu",23.02796145805018,2.37203854194982
25,21.8,75,480,Burger,23.02796145805018,-1.2279614580501779
26,22.8,30,193,"Merlot, Duckhorn, 1997. (Napa Valley)",23.02796145805018,-0.22796145805017787
27,22.6,262,1721,Blueberry  or Apple Crumb Cake ...1.75,23.02796145805018,-0.42796145805017716
