,opening_hours,city,creation_date,data_id,street,email,phone_number,name,address,lat,lon,revenue,cost_of_goods,cost_of_labor_month,fixed_costs_month,cost_of_labor_total,fixed_costs_total
0,12:00-23:00,San Francisco,10/15/17 20:34,268.0,Bayside Village Pl,rods_1890s_ranch_house@inbox.com,0499-121761,Rods 1890s Ranch House,"Bayside Village Pl, San Francisco",37.7844191,-122.3901329,55722.6,22137.855,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
1,12:00-23:00,San Francisco,3/23/18 8:41,337.0,Leona Terrace,southern_railway@hotmail.com,0496-657871,Southern Railway,"Leona Terrace, San Francisco",37.7831344,-122.4445421,39549.5,10954.5,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
2,12:00-23:00,San Francisco,7/7/17 5:10,162.0,Winn Way - Golden Gate National Recreation Area,associates_of_the_enginer_corps_and_company_k@gmail.com,0495-143410,Associates Of The Enginer Corps And Company K,"Winn Way - Golden Gate National Recreation Area, San Francisco",,,67285.5,8215.41,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
3,12:00-23:00,San Francisco,8/7/17 16:57,193.0,Burgoyne St,the_cleveland_bankers@yahoo.com,0496-641689,The Cleveland Bankers,"Burgoyne St, San Francisco",37.795217,-122.4169384,64494.4,5631.96,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
4,12:00-23:00,San Francisco,7/7/17 10:37,163.0,Carl St,the_streamliner@gmail.com,0495-160486,The Streamliner,"Carl St, San Francisco",37.7652534,-122.4543235,71114.4,11685.72,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
5,12:00-23:00,San Francisco,3/28/18 15:16,338.0,Pond St,lucullus_club@inbox.com,0496-986245,Lucullus Club,"Pond St, San Francisco",37.7632599,-122.4322001,34374.0,6353.895,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
6,12:00-23:00,San Francisco,12/11/17 21:56,297.0,Flournoy St,club_31@inbox.com,0499-540935,Club 31,"Flournoy St, San Francisco",37.7086054,-122.4618347,59484.7,8513.73,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
7,12:00-23:00,San Francisco,9/25/17 15:42,255.0,Latona St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0498-994404,Toyo Kisen Kaisha  Hong Kong Maru,"Latona St, San Francisco",37.7316779,-122.3925461,49084.6,18126.344999999998,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
8,12:00-23:00,San Francisco,9/16/17 10:18,245.0,Loomis St,veteran_corps_of_artillery_military_society_of_the_war_of_1812@outlook.com,0495-562736,Veteran Corps Of Artillery Military Society Of The War Of 1812,"Loomis St, San Francisco",37.7403887,-122.4054461,53549.7,6774.570000000001,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
9,12:00-23:00,San Francisco,3/7/18 23:56,332.0,Lake Merced Hill S St,cf_wetzel@hotmail.com,0498-319369,C.F. Wetzel,"Lake Merced Hill S St, San Francisco",37.709239,-122.4848472,36441.5,6634.56,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
10,12:00-23:00,San Francisco,8/7/17 13:00,192.0,Marine Dr,harrys_bar@aol.com,0494-616328,Harrys Bar,"Marine Dr, San Francisco",37.8092483,-122.47567,67335.9,3741.975,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
11,12:00-23:00,San Francisco,4/27/17 22:10,39.0,Forest Knolls Dr,long_island_business_college_hall@gmail.com,0496-359481,Long Island Business College Hall,"Forest Knolls Dr, San Francisco",37.7557157,-122.455363,60435.3,17397.0,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
12,12:00-23:00,San Francisco,7/7/17 17:51,164.0,Urbano Dr,brooklyn_democratic_club@yahoo.com,0496-931729,Brooklyn Democratic Club,"Urbano Dr, San Francisco",37.7240354,-122.4632264,66072.8,13097.22,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
13,12:00-23:00,San Francisco,10/20/17 7:41,271.0,Fresnel Way,seventh_masonic_district@mail.com,0496-040228,Seventh Masonic District,"Fresnel Way, San Francisco",37.8092721,-122.3613287,51355.6,10851.509999999998,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
14,12:00-23:00,San Francisco,9/30/17 16:39,261.0,Codman Pl,salle_hotel@gmail.com,0498-575430,Salle Hotel,"Codman Pl, San Francisco",37.7946459,-122.4100707,46133.3,5446.2,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
15,12:00-23:00,San Francisco,9/28/17 17:21,258.0,Donahue St,san_souci___beverly_wilshire_hotel@mail.com,0499-679087,San Souci   Beverly Wilshire Hotel,"Donahue St, San Francisco",37.7156712,-122.3819528,52245.0,8588.91,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
16,12:00-23:00,San Francisco,9/11/17 3:08,240.0,Moneta Way,the_pabst@yahoo.com,0497-859751,The Pabst,"Moneta Way, San Francisco",37.712575,-122.450439,61659.799999999996,12325.62,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
17,12:00-23:00,San Francisco,4/7/18 5:21,340.0,Quintara St,18th_club@outlook.com,0494-267745,18th Club,"Quintara St, San Francisco",37.74789,-122.4933756,40486.4,19353.21,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
18,12:00-23:00,San Francisco,6/15/17 5:52,132.0,Manor Dr,karl_ratzschs@hotmail.com,0498-457437,Karl Ratzschs,"Manor Dr, San Francisco",37.7282574,-122.464081,78091.1,4009.5449999999996,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
19,12:00-23:00,New York,10/21/17 20:50,273.0,Bowl Dr,nipppon_yusen_kaisha___ss_kobe_maru@aol.com,0495-365711,Nipppon Yusen Kaisha   S.S. Kobe Maru,"Bowl Dr, New York",41.94949515,-73.98978628148714,58113.0,9440.265,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
20,12:00-23:00,New York,3/3/18 23:33,328.0,Emmet Ct,explorers_club___arctic_club@yahoo.com,0498-853282,Explorers Club   Arctic Club,"Emmet Ct, New York",,,50121.5,9607.08,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
21,12:00-23:00,San Francisco,6/28/17 16:26,149.0,Faxon Ave,union_pacific__railroad@inbox.com,0495-218313,Union Pacific  Railroad,"Faxon Ave, San Francisco",37.7250783,-122.4599388,66507.8,11701.215,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
22,12:00-23:00,San Francisco,5/13/17 10:36,70.0,Incinerator Rd,winthrop_hotel@hotmail.com,0498-308091,Winthrop Hotel,"Incinerator Rd, San Francisco",37.801385,-122.4658732,63224.3,11004.84,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
23,12:00-23:00,San Francisco,12/6/17 20:14,294.0,Bird St,american_spool_cotton_manufacturers_association@hotmail.com,0497-515464,American Spool Cotton Manufacturers Association,"Bird St, San Francisco",37.7622635,-122.422538,50734.799999999996,21580.815,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
24,12:00-23:00,San Francisco,1/23/18 11:23,314.0,Beale St,willards_hotel@inbox.com,0499-396148,Willards Hotel,"Beale St, San Francisco",37.7912359,-122.3959205,38009.6,15034.199999999999,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
25,12:00-23:00,San Francisco,6/15/17 21:28,134.0,Ashwood Ln,the_upholstey_and_allied_trades@yahoo.com,0499-348306,The Upholstey And Allied Trades,"Ashwood Ln, San Francisco",37.7534172,-122.4572702,67979.5,10885.455,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
26,12:00-23:00,San Francisco,7/14/17 5:42,171.0,Edith St,century_club?@inbox.com,0498-662968,Century Club?,"Edith St, San Francisco",37.8027607,-122.4089226,60784.799999999996,5945.819999999999,1657.3909947228751,1455.2701417078904,19888.691936674502,17463.241700494684
