,id,opening_hours,city,creation_date,street,email,phone_number,name,revenue,cost_of_goods,cost_of_labor_month,fixed_costs_month,cost_of_labor_total,fixed_costs_total,total_PNL
0,0,12:00-23:00,San Francisco,10/15/17 20:34,Bayside Village Pl,rods_1890s_ranch_house@inbox.com,0499-121761,Rods 1890s Ranch House,135954.32070935,20393.1481064025,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,74738.21060387402
1,1,12:00-23:00,San Francisco,3/23/18 8:41,Leona Terrace,southern_railway@hotmail.com,0496-657871,Southern Railway,70929.62942861,10639.4444142915,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,19467.22301524502
2,2,12:00-23:00,San Francisco,7/7/17 5:10,Winn Way - Golden Gate National Recreation Area,associates_of_the_enginer_corps_and_company_k@gmail.com,0495-143410,Associates Of The Enginer Corps And Company K,67269.5,10090.425,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,16356.113000926518
3,3,12:00-23:00,San Francisco,8/7/17 16:57,Burgoyne St,the_cleveland_bankers@yahoo.com,0496-641689,The Cleveland Bankers,54358.8,8153.82,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,5382.018000926524
4,4,12:00-23:00,San Francisco,7/7/17 10:37,Carl St,the_streamliner@gmail.com,0495-160486,The Streamliner,100038.90000000001,15005.835000000001,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,44210.10300092652
5,5,12:00-23:00,San Francisco,3/28/18 15:16,Pond St,lucullus_club@inbox.com,0496-986245,Lucullus Club,51145.3,7671.795,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,2650.5430009265256
6,6,12:00-23:00,San Francisco,12/11/17 21:56,Flournoy St,club_31@inbox.com,0499-540935,Club 31,74740.1,11211.015000000001,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,22706.123000926527
7,7,12:00-23:00,San Francisco,9/25/17 15:42,Latona St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0498-994404,Toyo Kisen Kaisha  Hong Kong Maru,117545.5,17631.825,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,59090.713000926524
8,8,12:00-23:00,San Francisco,9/16/17 10:18,Loomis St,veteran_corps_of_artillery_military_society_of_the_war_of_1812@outlook.com,0495-562736,Veteran Corps Of Artillery Military Society Of The War Of 1812,74783.0,11217.449999999999,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,22742.588000926524
9,9,12:00-23:00,San Francisco,3/7/18 23:56,Lake Merced Hill S St,cf_wetzel@hotmail.com,0498-319369,C.F. Wetzel,53999.6,8099.94,1811.4084869718752,1590.5050129509148,21736.9018436625,19086.060155410978,5076.698000926517
